METRIC,CYCLE,J TOT,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10
TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
GOOD,0,0,0,0,0,0,0,0,0,0,0,0
RFT,0,0,0,0,0,0,0,0,0,0,0,0
RNFT,0,0,0,0,0,0,0,0,0,0,0,0
BAD,0,0,0,0,0,0,0,0,0,0,0,0
TMI,0,0,0,0,0,0,0,0,0,0,0,0
PWC,0,0,0,0,0,0,0,0,0,0,0,0
NRFT,0,0,0,0,0,0,0,0,0,0,0,0
INR,0,0,0,0,0,0,0,0,0,0,0,0
IWC,0,0,0,0,0,0,0,0,0,0,0,0
IUR,0,0,0,0,0,0,0,0,0,0,0,0
IAE,0,0,0,0,0,0,0,0,0,0,0,0
INV,0,0,0,0,0,0,0,0,0,0,0,0
INF,0,0,0,0,0,0,0,0,0,0,0,0
INP,0,0,0,0,0,0,0,0,0,0,0,0
CT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
